senders,efficiency,throughput,avgFwdDelay
7, 0.957394, 911031.500000, 319104
15, 0.948303, 510238.812500, 702054
31, 0.911170, 284794.937500, 1035192
63, 0.892114, 117544.898438, 5633930
127, 0.896279, 50953.722656, 13424397
3, 0.977953, 1077413.375000, 61548
7, 0.960279, 915590.062500, 368391
15, 0.945762, 508205.468750, 951491
63, 0.895318, 118749.117188, 3840020
127, 0.898673, 51028.843750, 17784632
7, 0.956098, 911226.125000, 380692
15, 0.950778, 509256.843750, 381206
63, 0.892164, 118192.164062, 861107
127, 0.894416, 51496.671875, 15468588
3, 0.982927, 1084819.375000, 98872
7, 0.960795, 917943.437500, 260388
15, 0.949939, 504731.156250, 772400
31, 0.914388, 286113.250000, 1646142
63, 0.893842, 117262.750000, 4392854
127, 0.896289, 51267.890625, 8808486
3, 0.982529, 1086970.125000, 70964
7, 0.959909, 910836.562500, 619286
15, 0.949141, 508749.843750, 679639
31, 0.908955, 282040.875000, 1572361
63, 0.887009, 116992.640625, 1635706
127, 0.898291, 53839.988281, 21236289
